train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.thisTrial,Labjack_U3,cellIntensity,typeTrial,Unceartinty type,sector,position,globalTime,soa,reactionTime,joyFinalPos,TargetFinalPosition,angleInRads,angleInDegrees,gender,Session,dateStr,Subject,
0,0,0,0,None,0.4,0.5,U,M,W,1,6.0,1.1,0.334,"(-5.0, 0.0)","(-5, 0)",0.0,0.0,male,1,2016_may_31_1958,,
1,0,1,0,None,0.85,0.8,NU,H,0,7,13.0,1.9,0.467,"(-3.62, 3.44)","(-3.54, 3.54)",0.025,1.432,male,1,2016_may_31_1958,,
2,0,2,0,None,0.85,0.8,NU,H,0,5,21.0,1.9,0.384,"(-2.67, -4.23)","(-3.54, -3.54)",0.222,12.72,male,1,2016_may_31_1958,,
3,0,3,0,None,0.35,0.6,U,N,0,4,29.0,1.9,0.267,"(-0.0, -5.0)","(0, -5)",0.0,0.0,male,1,2016_may_31_1958,,
